version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.194 22 44300 6 1 80 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 83.222.190.110 10.0.42.239 40669 29196 6 1 40 1724168297 1724168323 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.193 22 44269 6 19 2080 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 13.91.182.218 10.0.42.239 36372 2000 6 1 40 1724168297 1724168323 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.193 22 55140 6 301 118976 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.194 10.0.42.239 44300 22 6 2 156 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.193 10.0.42.239 44269 22 6 27 2260 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.193 10.0.42.239 55140 22 6 237 85152 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.192 10.0.42.239 43339 22 6 25 7129 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.192 22 43339 6 29 5477 1724168297 1724168323 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 79.110.62.103 10.0.42.239 45357 58811 6 1 40 1724168297 1724168323 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.192 22 61293 6 1 80 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.192 22 23081 6 2 104 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 59650 22 6 25 7129 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 28742 22 6 4 304 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 28742 6 2 104 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 143.42.1.84 10.0.45.111 45008 32768 6 1 44 1724168317 1724168344 REJECT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.192 10.0.45.111 61293 22 6 2 156 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 193.163.125.128 10.0.45.111 54551 9022 6 1 44 1724168317 1724168344 REJECT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.192 10.0.45.111 23081 22 6 4 304 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 167.94.145.24 10.0.45.111 16191 17777 6 1 60 1724168317 1724168344 REJECT OK
2 659949029828 eni-0614c6b99754808d6 162.142.125.142 10.0.45.111 43368 58386 6 1 60 1724168317 1724168344 REJECT OK
2 659949029828 eni-0614c6b99754808d6 206.168.34.175 10.0.45.111 49882 8888 6 1 60 1724168317 1724168344 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 59650 6 22 5293 1724168317 1724168344 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 37.120.149.150 10.0.42.239 0 0 1 1 34 1724168331 1724168355 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 193.41.206.142 10.0.42.239 58095 8728 6 1 40 1724168331 1724168355 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 218.75.45.86 10.0.42.239 21255 23 6 1 40 1724168331 1724168355 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 194.26.29.113 10.0.42.239 44599 9459 6 1 40 1724168331 1724168355 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 17903 6 8 832 1724168354 1724168373 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 45.33.42.25 10.0.45.111 49752 7173 6 1 44 1724168354 1724168373 REJECT OK
2 659949029828 eni-0614c6b99754808d6 165.154.40.244 10.0.45.111 36839 6001 6 1 60 1724168354 1724168373 REJECT OK
2 659949029828 eni-0614c6b99754808d6 184.105.247.244 10.0.45.111 60184 789 6 1 40 1724168354 1724168373 REJECT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 17903 22 6 9 872 1724168354 1724168373 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.193 22 55140 6 48 5312 1724168361 1724168383 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 94.102.49.148 10.0.42.239 49306 29648 6 1 44 1724168361 1724168383 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 80.94.95.249 10.0.42.239 61000 14574 6 1 40 1724168361 1724168383 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 45.79.132.41 10.0.42.239 53960 40004 6 1 44 1724168361 1724168383 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.194 22 44300 6 1 80 1724168361 1724168383 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 79.110.62.183 10.0.42.239 42880 2036 6 1 40 1724168361 1724168383 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.194 10.0.42.239 44300 22 6 2 156 1724168361 1724168383 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.193 10.0.42.239 55140 22 6 69 5752 1724168361 1724168383 ACCEPT OK
